Runs,Wickets,Fifers,Catches,Bat_Str,Ind_Abroad,Price
2794,4,0,40,135,1,170
2734,1,0,40,140,1,150
1958,24,0,47,120,0,80
1951,51,0,24,115,0,100
1922,20,0,33,110,0,70
1821,7,0,30,125,0,70
1724,4,0,19,140,0,90
1636,6,0,26,125,0,80
1609,17,0,15,145,0,100
1605,13,0,41,135,1,140
1558,26,0,30,155,0,100
1462,48,0,20,125,0,110
1418,76,1,17,105,0,110
1363,87,0,29,155,0,120
1176,1,0,14,130,0,60
1151,59,0,36,130,0,80
1044,45,0,29,140,0,70
681,17,0,21,120,0,80
519,24,0,12,165,0,70
310,37,0,22,160,1,110
299,57,0,26,100,0,50
282,52,0,19,105,0,50
237,40,1,12,110,0,40
226,78,1,35,100,0,40
209,57,0,24,110,0,35
189,61,0,17,115,0,30
165,79,2,17,100,0,55
155,52,0,7,120,0,70
137,69,2,18,130,0,80
136,99,2,18,100,0,100
123,52,0,8,105,1,90
108,24,0,6,110,1,80
101,28,0,6,110,0,50
59,55,0,4,105,0,60
43,56,1,8,100,0,60
43,52,0,7,95,0,50
23,39,1,5,105,1,80
22,38,0,12,110,0,45
21,46,0,5,110,0,50
305,14,0,13,130,0,85
281,16,0,8,130,0,60
230,24,0,4,105,0,50
173,39,0,21,120,1,90
172,28,0,2,125,1,90
159,36,1,11,115,0,60
42,21,0,4,110,1,80
38,36,0,7,105,0,45
35,36,0,7,110,0,55
32,30,0,4,105,0,60
27,11,0,5,125,0,65
1123,35,0,36,135,0,75.44237333
1111,35,0,20,120,0,77.5964718
984,1,0,23,125,0,65.62727597
954,36,0,26,130,0,74.03935435
902,7,0,10,120,0,69.79339163
893,6,0,18,120,0,64.79624811
858,4,0,23,110,0,56.15258356
837,6,0,27,110,0,53.78803921
761,1,0,16,120,0,60.66340724
756,19,0,24,120,0,60.59266717
688,18,0,13,125,0,66.57855149
647,15,0,7,120,0,65.79313058
637,1,0,8,110,0,57.1055414
582,7,0,8,123,0,62.53337829
534,44,0,30,130,0,61.14283163
527,18,0,4,130,0,68.89071777
524,3,0,7,125,0,61.18627666
518,3,0,14,125,0,57.09171065
487,11,0,18,130,0,58.08551768
478,11,0,8,130,0,63.40425207
469,1,0,2,125,0,61.81472372
465,14,0,19,130,0,57.62085917
408,7,0,4,110,0,53.94366287
378,14,0,12,120,0,54.6213162
348,31,0,4,100,0,53.91637149
342,6,0,13,110,0,46.6661039
319,1,0,4,120,0,54.02393145
310,30,0,18,130,0,57.5458399
236,13,0,9,135,1,97.35115687
214,10,0,4,130,0,57.41491006
211,24,0,10,115,0,51.08261284
205,36,0,9,110,0,52.35280425
201,35,0,17,120,0,51.79222745
182,20,0,3,120,0,55.25128027
178,13,0,5,125,0,54.38467574
159,4,0,3,125,0,52.65265419
157,14,0,4,130,0,56.705254
150,32,0,13,125,0,53.8722774
133,34,0,6,135,0,62.06368176
121,14,0,7,130,1,93.10647966
111,13,0,7,120,0,49.10042901
101,5,0,2,125,1,90.87863231
96,7,0,4,120,0,48.80703758
92,35,0,6,130,0,58.9356503
92,24,0,9,130,0,54.47629876
91,7,0,1,125,0,52.47598441
61,36,0,8,110,0,48.56315159
61,31,0,7,100,0,43.57200126
52,40,0,11,100,0,43.34033549
28,34,0,4,100,1,84.17692195
26,19,0,7,120,1,87.21660518
24,39,0,8,100,0,43.91898578
23,33,0,4,100,0,44.60743801
22,17,0,1,100,1,81.37313163
21,23,0,4,100,0,42.01777297
21,43,0,10,100,0,43.72198859
16,60,0,12,100,0,46.75263898
8,58,0,7,110,1,92.25158578
1568,22,0,12,120,0,92.58194846
1479,2,0,21,125,0,81.94698351
1375,24,0,28,130,0,82.60005278
1189,6,0,23,130,0,75.22555963